   0.00000,  180.00000,  180.00000
  10.00000,  189.24403,  187.36164
  20.00000,  194.57647,  192.13948
  30.00000,  197.37569,  195.15844
  40.00000,  198.75899,  197.03537
  50.00000,  199.41997,  198.19106
  60.00000,  199.73044,  198.89858
  70.00000,  199.87506,  199.33022
  80.00000,  199.94217,  199.59302
  90.00000,  199.97324,  199.75283
 100.00000,  199.98763,  199.84992
 110.00000,  199.99428,  199.90889
 120.00000,  199.99735,  199.94470
 130.00000,  199.99878,  199.96643
 140.00000,  199.99943,  199.97963
 150.00000,  199.99974,  199.98763
 160.00000,  199.99988,  199.99250
 170.00000,  199.99994,  199.99545
 180.00000,  199.99997,  199.99724
 190.00000,  199.99999,  199.99832
 200.00000,  199.99999,  199.99898
